M,N,K,t,tflops
4,16,8192,0.001652244,0.000634637499061882
4,16,16384,0.003261317,0.0006430383798937668
4,16,32768,0.006449552,0.000650324859773206
4,16,65536,0.013275959,0.0006318645605940783
4,16,131072,0.040661667,0.000412605218571093
4,16,262144,0.086538801,0.00038773858214189957
4,16,524288,0.179662394,0.0003735276064505742
4,16,1048576,0.351122949,0.0003822527931661909
4,16,2097152,0.694587707,0.000386467329172009
4,16,4194304,1.381438225,0.0003886318637230413
4,16,8388608,2.752428166,0.0003901071196929468
4,16,16777216,5.497385722,0.0003906372513403927
4,32,2,1.566e-5,3.2694763729246487e-5
4,32,4,1.6511e-5,6.201925988734782e-5
4,32,8,1.7701e-5,0.00011569967798429469
4,32,16,1.9759e-5,0.0002072979401791589
4,32,32,2.1454e-5,0.000381840216276685
4,32,64,2.7336e-5,0.0005993561603745975
4,32,128,4.0379e-5,0.0008115109339012853
4,32,256,6.4783e-5,0.0010116234197243103
4,32,512,0.00011547,0.0011351173464969255
4,32,1024,0.000333576,0.0007858598939971701
4,32,2048,0.000612884,0.0008554440970885192
4,32,4096,0.000849734,0.0012340049945041625
4,32,8192,0.001627847,0.001288297978864107
4,32,16384,0.003249688,0.001290678982105359
4,32,32768,0.00644189,0.001302196715560185
4,32,65536,0.01332688,0.0012589005078457976
4,32,131072,0.044590293,0.0007525053042374043
4,32,262144,0.09409479,0.0007132048862641598
4,32,524288,0.180093862,0.0007452654216499616
4,32,1048576,0.352246638,0.0007620667652759826
4,32,2097152,0.696731667,0.0007705562089802357
4,32,4194304,1.384770751,0.0007753932000835567
4,32,8388608,2.762580935,0.0007773468718302003
4,64,2,1.5735e-5,6.507785192246584e-5
4,64,4,1.6268e-5,0.0001258913203835751
4,64,8,1.7645e-5,0.00023213374893737602
4,64,16,2.0119e-5,0.00040717729509418953
4,64,32,2.1685e-5,0.000755545307816463
4,64,64,2.7846e-5,0.0011767578826402357
4,64,128,4.0598e-5,0.0016142667126459432
4,64,256,6.5763e-5,0.0019930964220002127
4,64,512,0.000117884,0.0022237453768111023
4,64,1024,0.000373657,0.0014031263966686025
4,64,2048,0.000533082,0.0019670069520261423
4,64,4096,0.000878255,0.002387862295119299
4,64,8192,0.001755274,0.0023895437407493074
4,64,16384,0.003392958,0.0024723583374742625
4,64,32768,0.006643647,0.0025253021420313273
4,64,65536,0.021543124,0.0015575471783943683
4,64,131072,0.051866558,0.001293875410047453
4,64,262144,0.095601615,0.0014039274127325152
4,64,524288,0.183121403,0.001465887938833671
4,64,1048576,0.358159972,0.0014989696056822341
4,64,2097152,0.708326682,0.0015158850446918503
